Site,Transect,Quad,Height,Epibiont,Basibiont,Count,Notes
Otter Cove 1,2,5,Medium,Black Limpet,Shield Limpet,1,
Otter Cove 1,2,5,Medium,Crustose Coralline Algae,California Spiny Chiton,1,
Otter Cove 1,2,5,Medium,Filamentous Coralline Algae,California Mussel,1,
Otter Cove 1,2,6,Medium,Green Algae,File Limpet,1,Species of algae not marked
Otter Cove 1,2,7,Medium,Digitalis,Shield Limpet,1,
Otter Cove 1,2,7,Medium,Green Algae,File Limpet,1,
Otter Cove 1,2,7,Medium,Balanus,Shield Limpet,1,
Otter Cove 1,2,8,Medium,Mastocarpus,File Limpet,1,
Otter Cove 1,2,8,Medium,Gooseneck Barnacle,File Limpet,2,
Otter Cove 1,2,8,Medium,Digitalis,File Limpet,1,
Otter Cove 1,2,8,Medium,Balanus,File Limpet,3,
Otter Cove 1,2,8,Medium,Tar Spot,Pink Volcano Barnacle,3,
Otter Cove 1,2,9,Medium,Mastocarpus,Shield Limpet,3,
Otter Cove 1,2,10,Medium,Digitalis,File Limpet,3,
Otter Cove 1,2,10,Medium,Balanus,File Limpet,9,
Otter Cove 1,2,10,Medium,Scouring Pad Algae,File Limpet,2,
Otter Cove 1,3,2,Low,Hooked Slippersnail,Black Tegula,1,
Otter Cove 1,3,2,Low,Crustose Coralline Algae,Black Tegula,2,
Otter Cove 1,3,2,Low,Red Algae,Black Tegula,1,Species of algae not marked
Otter Cove 1,3,3,Low,Filamentous Coralline Algae,Mossy Chiton,1,
Otter Cove 1,3,3,Low,Tar Spot,Mossy Chiton,1,
Otter Cove 1,3,4,Low,Black Limpet,Black Tegula,1,
Otter Cove 1,3,5,Low,Digitalis,Black Tegula,1,
Otter Cove 1,3,5,Low,Red Algae,Black Tegula,2,Species of algae not marked
Otter Cove 1,3,5,Low,Serpulidae,Black Tegula,1,
Otter Cove 1,3,6,Low,Hooked Slippersnail,Black Tegula,1,
Otter Cove 1,3,6,Low,Serpulidae,Black Tegula,38,
Otter Cove 1,3,7,Low,Hooked Slippersnail,Black Tegula,1,
Otter Cove 1,3,7,Low,Chthamalus,Black Tegula,1,
Otter Cove 1,3,7,Low,Digitalis,Black Tegula,1,
Otter Cove 1,3,7,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Otter Cove 1,3,8,Low,Red Algae,Black Tegula,1,Species of algae not marked
Otter Cove 1,3,8,Low,Black Limpet,Black Tegula,1,
Otter Cove 1,3,9,Low,Hooked Slippersnail,Black Tegula,1,
Otter Cove 1,3,10,Low,Chthamalus,Black Tegula,1,
Cannery Row 1,1,1,High,Balanus,California Mussel,11,
Cannery Row 1,1,1,High,Scabra,California Mussel,3,
Cannery Row 1,1,1,High,Digitalis,California Mussel,2,
Cannery Row 1,1,1,High,Nori,California Mussel,2,
Cannery Row 1,1,2,High,Balanus,California Mussel,24,
Cannery Row 1,1,2,High,Scabra,California Mussel,1,
Cannery Row 1,1,2,High,Green Algae,File Limpet,1,Species of algae not marked
Cannery Row 1,1,2,High,Chthamalus,California Mussel,2,
Cannery Row 1,1,3,High,Green Algae,File Limpet,3,Species of algae not marked
Cannery Row 1,1,3,High,Digitalis,File Limpet,1,
Cannery Row 1,1,3,High,Balanus,Pink Volcano Barnacle,1,
Cannery Row 1,1,3,High,Balanus,File Limpet,1,
Cannery Row 1,1,5,High,Digitalis,Black Tegula,3,
Cannery Row 1,1,6,High,Balanus,Balanus,6,
Cannery Row 1,1,6,High,Scabra,Balanus,1,
Cannery Row 1,1,6,High,Balanus,Scabra,1,
Cannery Row 1,1,6,High,Digitalis,Balanus,1,
Cannery Row 1,1,7,High,Balanus,California Mussel,79,
Cannery Row 1,1,7,High,Digitalis,California Mussel,1,
Cannery Row 1,1,7,High,Chthamalus,California Mussel,2,
Cannery Row 1,1,7,High,Scabra,California Mussel,2,
Cannery Row 1,1,7,High,File Limpet,California Mussel,1,
Cannery Row 1,1,8,High,Balanus,California Mussel,50,
Cannery Row 1,1,8,High,Chthamalus,California Mussel,3,
Cannery Row 1,1,9,High,Balanus,California Mussel,30,
Cannery Row 1,1,9,High,Digitalis,California Mussel,1,
Cannery Row 1,1,9,High,Black Limpet,Black Tegula,2,
Cannery Row 1,1,10,High,Balanus,California Mussel,53,
Cannery Row 1,2,1,Medium,Black Limpet,Black Tegula,2,
Cannery Row 1,2,1,Medium,Black Limpet,Black Tegula,1,
Cannery Row 1,2,1,Medium,Digitalis,Black Tegula,4,
Cannery Row 1,2,2,Medium,Black Limpet,Black Tegula,1,
Cannery Row 1,2,2,Medium,Digitalis,Black Tegula,1,
Cannery Row 1,2,2,Medium,Hooked Slippersnail,Black Tegula,2,
Cannery Row 1,2,3,Medium,Hooked Slippersnail,Black Tegula,6,
Cannery Row 1,2,3,Medium,Digitalis,Black Tegula,2,
Cannery Row 1,2,3,Medium,Black Limpet,Black Tegula,2,
Cannery Row 1,2,4,Medium,Black Limpet,Black Tegula,2,
Cannery Row 1,2,4,Medium,Black Limpet,Black Tegula,1,
Cannery Row 1,2,4,Medium,Red Algae,Black Tegula,1,
Cannery Row 1,2,5,Medium,Black Limpet,Black Tegula,1,
Cannery Row 1,2,5,Medium,Hooked Slippersnail,Black Tegula,1,
Cannery Row 1,2,5,Medium,Balanus,Black Tegula,1,
Cannery Row 1,2,6,Medium,Digitalis,Black Tegula,1,
Cannery Row 1,2,6,Medium,Tar Spot,Brown Tegula,1,
Cannery Row 1,2,7,Medium,Mastocarpus,Black Tegula,1,
Cannery Row 1,2,7,Medium,Black Limpet,Black Tegula,1,
Cannery Row 1,2,7,Medium,Tar Spot,Black Tegula,1,
Cannery Row 1,2,7,Medium,Mastocarpus,Black Tegula,1,
Cannery Row 1,2,7,Medium,Black Limpet,Black Tegula,1,
Cannery Row 1,2,7,Medium,Tar Spot,Black Tegula,1,
Cannery Row 1,2,8,Medium,Black Limpet,Black Tegula,1,
Cannery Row 1,2,8,Medium,Digitalis,Black Tegula,1,
Cannery Row 1,2,9,Medium,Black Limpet,Black Tegula,2,
Cannery Row 1,2,9,Medium,Hooked Slippersnail,Black Tegula,2,
Cannery Row 1,2,9,Medium,Balanus,Black Tegula,1,
Cannery Row 1,2,10,Medium,Digitalis,Black Tegula,4,
Cannery Row 1,3,1,Low,Hooked Slippersnail,Hooked Slippersnail,2,
Cannery Row 1,3,1,Low,Hooked Slippersnail,Black Tegula,3,
Cannery Row 1,3,1,Low,Black Limpet,Black Tegula,1,
Cannery Row 1,3,1,Low,Digitalis,Black Tegula,1,
Cannery Row 1,3,3,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Cannery Row 1,3,3,Low,Balanus,Black Tegula,7,
Cannery Row 1,3,3,Low,Black Limpet,Black Tegula,1,
Cannery Row 1,3,3,Low,Digitalis,Black Tegula,1,
Cannery Row 1,3,3,Low,Tar Spot,Black Tegula,2,
Cannery Row 1,3,4,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Cannery Row 1,3,4,Low,Hooked Slippersnail,Black Tegula,3,
Cannery Row 1,3,4,Low,Balanus,Black Tegula,2,
Cannery Row 1,3,4,Low,Tar Spot,Black Tegula,1,
Cannery Row 1,3,5,Low,Hooked Slippersnail,Hooked Slippersnail,2,
Cannery Row 1,3,5,Low,Hooked Slippersnail,Black Tegula,3,
Cannery Row 1,3,5,Low,Digitalis,Black Tegula,2,
Cannery Row 1,3,6,Low,Hooked Slippersnail,Hooked Slippersnail,2,
Cannery Row 1,3,6,Low,Hooked Slippersnail,Black Tegula,4,
Cannery Row 1,3,6,Low,Balanus,Black Tegula,2,
Cannery Row 1,3,6,Low,Black Limpet,Black Tegula,1,
Cannery Row 1,3,7,Low,Black Limpet,Black Tegula,1,
Cannery Row 1,3,7,Low,Red Algae,Black Tegula,1,Species of algae not marked
Cannery Row 1,3,8,Low,[UNK] Several Epibionts,[UNK] Several Basi,19,COUNTS UNSURE
Cannery Row 1,3,9,Low,[UNK] Several Epibionts,[UNK] Several Basi,13,COUNTS UNSURE
Cannery Row 1,3,10,Low,[UNK] Several Epibionts,[UNK] Several Basi,7,COUNTS UNSURE
Lovers Point 1,1,1,High,Tar Spot,Balanus,27,
Lovers Point 1,1,1,High,Balanus,Balanus,27,
Lovers Point 1,1,1,High,Mastocarpus,Balanus,5,
Lovers Point 1,1,2,High,Balanus,Balanus,24,
Lovers Point 1,1,2,High,Chthamalus,Striped Dogwinkle,1,
Lovers Point 1,1,2,High,Balanus,Scabra,1,
Lovers Point 1,1,2,High,Scabra,Balanus,1,
Lovers Point 1,1,3,High,Balanus,Scabra,1,
Lovers Point 1,1,3,High,Crustose Coralline Algae,California Spiny Chiton,1,
Lovers Point 1,1,4,High,Digitalis,Balanus,1,
Lovers Point 1,1,4,High,Balanus,Balanus,3,
Lovers Point 1,1,5,High,Mastocarpus,Pink Volcano Barnacle,1,
Lovers Point 1,1,5,High,Balanus,California Mussel,19,
Lovers Point 1,1,5,High,Chthamalus,California Mussel,6,
Lovers Point 1,1,6,High,Scouring Pad Algae,California Mussel,1,
Lovers Point 1,1,6,High,Balanus,California Mussel,11,
Lovers Point 1,1,6,High,Digitalis,California Mussel,1,
Lovers Point 1,1,6,High,Black Limpet,California Mussel,5,
Lovers Point 1,1,6,High,Chthamalus,Emarginate Dogwinkle,1,
Lovers Point 1,1,7,High,Green Algae,Scabra,4,Species of algae not marked
Lovers Point 1,2,1,Medium,Black Limpet,California Mussel,3,
Lovers Point 1,2,1,Medium,Balanus,File Limpet,1,
Lovers Point 1,2,2,Medium,Balanus,Black Tegula,5,
Lovers Point 1,2,2,Medium,Black Limpet,Black Tegula,1,
Lovers Point 1,2,3,Medium,Balanus,File Limpet,1,
Lovers Point 1,2,3,Medium,Digitalis,File Limpet,2,
Lovers Point 1,2,3,Medium,Balanus,Pink Volcano Barnacle,1,
Lovers Point 1,2,3,Medium,Digitalis,Black Tegula,3,
Lovers Point 1,2,3,Medium,Balanus,Black Tegula,1,
Lovers Point 1,2,3,Medium,Balanus,California Mussel,7,
Lovers Point 1,2,4,Medium,Digitalis,File Limpet,1,
Lovers Point 1,2,4,Medium,Digitalis,California Mussel,1,
Lovers Point 1,2,4,Medium,Balanus,California Mussel,4,
Lovers Point 1,2,4,Medium,Balanus,Pink Volcano Barnacle,1,
Lovers Point 1,2,5,Medium,Balanus,California Mussel,10,
Lovers Point 1,2,5,Medium,Digitalis,Striped Dogwinkle,1,
Lovers Point 1,2,6,Medium,Digitalis,Pink Volcano Barnacle,12,
Lovers Point 1,2,6,Medium,Balanus,Pink Volcano Barnacle,9,
Lovers Point 1,2,6,Medium,Digitalis,Black Tegula,1,
Lovers Point 1,2,6,Medium,Black Limpet,Pink Volcano Barnacle,1,
Lovers Point 1,2,7,Medium,Black Limpet,California Mussel,4,
Lovers Point 1,2,7,Medium,Digitalis,California Mussel,3,
Lovers Point 1,2,7,Medium,Balanus,California Mussel,5,
Lovers Point 1,3,1,Low,Variegate Amphissa,California Mussel,73,Eggs
Lovers Point 1,3,1,Low,Black Limpet,California Mussel,1,
Lovers Point 1,3,2,Low,Balanus,California Mussel,16,
Lovers Point 1,3,2,Low,Beauty Bush Algae,California Mussel,3,
Lovers Point 1,3,2,Low,Black Limpet,Black Tegula,1,
Lovers Point 1,3,2,Low,Digitalis,California Mussel,1,
Lovers Point 1,3,3,Low,Crustose Coralline Algae,Whitecap Limpet,1,
Lovers Point 1,3,3,Low,Balanus,California Mussel,6,
Lovers Point 1,3,3,Low,Hooked Slippersnail,Black Tegula,1,
Lovers Point 1,3,3,Low,Black Limpet,Hooked Slippersnail,1,
Lovers Point 1,3,4,Low,Chthamalus,California Mussel,29,
Lovers Point 1,3,4,Low,Balanus,California Mussel,2,
Lovers Point 1,3,4,Low,Black Limpet,California Mussel,4,
Lovers Point 1,3,4,Low,Variegate Amphissa,California Mussel,6,Eggs
Lovers Point 1,3,4,Low,Black Limpet,Gooseneck Barnacle,3,
Lovers Point 1,3,5,Low,Pink Volcano Barnacle,Pink Volcano Barnacle,2,
Lovers Point 1,3,5,Low,Balanus,Pink Volcano Barnacle,15,
Lovers Point 1,3,5,Low,Scabra,Pink Volcano Barnacle,1,
Lovers Point 1,3,5,Low,Balanus,California Mussel,7,
Lovers Point 1,3,5,Low,Black Limpet,California Mussel,5,
Lovers Point 1,3,5,Low,Filamentous Coralline Algae,Pink Volcano Barnacle,4,
Lovers Point 1,3,5,Low,Black Limpet,Pink Volcano Barnacle,1,
Lovers Point 1,3,5,Low,Scabra,Black Tegula,1,
Lovers Point 1,3,5,Low,Balanus,Black Tegula,1,
Lovers Point 1,3,6,Low,Balanus,Pink Volcano Barnacle,2,
Lovers Point 1,3,6,Low,Balanus,California Mussel,20,
Lovers Point 1,3,6,Low,Chthamalus,California Mussel,65,
Lovers Point 1,3,6,Low,Black Limpet,California Mussel,11,
Lovers Point 1,3,6,Low,Digitalis,California Mussel,1,
Lovers Point 1,3,6,Low,Scabra,Black Tegula,1,
Lovers Point 1,3,6,Low,Black Limpet,Black Tegula,1,
Lovers Point 1,3,6,Low,Pink Volcano Barnacle,California Mussel,1,
Lovers Point 1,3,7,Low,Digitalis,Circled Rocksnail,1,
Lovers Point 1,3,7,Low,Tar Spot,Balanus,30,
Lovers Point 1,3,7,Low,Scabra,Balanus,3,
Lovers Point 1,3,7,Low,Pink Volcano Barnacle,Balanus,4,
Lovers Point 1,3,7,Low,Digitalis,Balanus,2,
Lovers Point 1,3,7,Low,Chthamalus,California Mussel,35,
Lovers Point 1,3,7,Low,Balanus,California Mussel,16,
Lovers Point 1,3,7,Low,Black Limpet,California Mussel,3,
Cannery Row 2,1,1,High,Black Limpet,Black Tegula,1,
Cannery Row 2,1,1,High,Hooked Slippersnail,Black Tegula,1,
Cannery Row 2,1,3,High,Digitalis,Black Tegula,2,
Cannery Row 2,2,1,Medium,Hooked Slippersnail,Black Tegula,2,
Cannery Row 2,2,1,Medium,Black Limpet,Black Tegula,2,
Cannery Row 2,2,1,Medium,Hooked Slippersnail,Brown Tegula,2,
Cannery Row 2,2,2,Medium,Digitalis,Shield Limpet,4,
Cannery Row 2,2,3,Medium,Serpulidae,California Mussel,74,
Cannery Row 2,2,3,Medium,Hooked Slippersnail,Black Tegula,3,
Cannery Row 2,2,3,Medium,Balanus,Black Tegula,1,
Cannery Row 2,2,4,Medium,Black Limpet,Black Tegula,2,
Cannery Row 2,2,4,Medium,Red Algae,Black Tegula,1,
Cannery Row 2,2,4,Medium,Balanus,Black Tegula,1,
Cannery Row 2,2,4,Medium,Digitalis,Black Tegula,1,
Cannery Row 2,2,5,Medium,Tar Spot,Brown Tegula,1,
Cannery Row 2,2,5,Medium,Hooked Slippersnail,Black Tegula,1,
Cannery Row 2,2,5,Medium,Black Limpet,Black Tegula,1,
Cannery Row 2,2,5,Medium,Balanus,Black Tegula,1,
Cannery Row 2,3,1,Low,Digitalis,Black Tegula,1,
Cannery Row 2,3,1,Low,Hooked Slippersnail,Black Tegula,1,
Cannery Row 2,3,1,Low,Black Limpet,Black Tegula,1,
Cannery Row 2,3,1,Low,Serpulidae,Black Tegula,9,
Cannery Row 2,3,1,Low,Black Limpet,Black Tegula,1,
Cannery Row 2,3,2,Low,Red Algae,Black Tegula,1,
Cannery Row 2,3,2,Low,Tar Spot,Volcano Keyhole Limpet,1,
Cannery Row 2,3,2,Low,Crustose Coralline Algae,Volcano Keyhole Limpet,1,
Cannery Row 2,3,2,Low,Black Limpet,Black Tegula,1,
Cannery Row 2,3,3,Low,Digitalis,Black Tegula,2,
Cannery Row 2,3,3,Low,Crustose Coralline Algae,California Mussel,1,
Cannery Row 2,3,4,Low,Red Algae,Black Tegula,1,
Cannery Row 2,3,4,Low,Hooked Slippersnail,Black Tegula,1,
Cannery Row 2,3,5,Low,Hooked Slippersnail,Carinate Dovesnail,1,
Cannery Row 2,3,5,Low,Serpulidae,Black Tegula,1,
,,,,,,,
,,,,,,,
Cannery Row 3,2,6,Medium,Hooked Slippersnail,Black Tegula,12,
Cannery Row 3,2,6,Medium,Black Limpet,Black Tegula,4,
Cannery Row 3,2,6,Medium,Chthamalus,Black Tegula,17,
Cannery Row 3,2,6,Medium,Balanus,Black Tegula,2,
Cannery Row 3,2,6,Medium,Tar Spot,Black Tegula,1,
Cannery Row 3,2,6,Medium,Hooked Slippersnail,Hooked Slippersnail,5,
Cannery Row 3,2,6,Medium,Tar Spot,Fenestrate Limpet,1,
Cannery Row 3,2,6,Medium,Red Algae,Shield Limpet,1,
Cannery Row 3,2,6,Medium,Plate Limpet,Plate Limpet,1,
Cannery Row 3,2,6,Medium,Red Algae,Black Tegula,1,
Cannery Row 3,2,7,Medium,Hooked Slippersnail,Hooked Slippersnail,2,
Cannery Row 3,2,7,Medium,Black Limpet,Black Tegula,2,
Cannery Row 3,2,7,Medium,Hooked Slippersnail,Black Tegula,6,
Cannery Row 3,2,7,Medium,Chthamalus,Black Tegula,30,
Cannery Row 3,2,7,Medium,Plate Limpet,Black Tegula,2,
Cannery Row 3,2,8,Medium,Hooked Slippersnail,Black Tegula,3,
Cannery Row 3,2,8,Medium,Crepidula norrisiarum,Black Tegula,1,
Cannery Row 3,2,8,Medium,Black Limpet,Black Tegula,2,
Cannery Row 3,2,8,Medium,Pink Volcano Barnacle,Black Tegula,3,
Cannery Row 3,2,8,Medium,Tar Spot,Black Tegula,1,
Cannery Row 3,2,8,Medium,Hooked Slippersnail,Hooked Slippersnail,2,
Cannery Row 3,2,8,Medium,Chthamalus,Circled Rocksnail,29,
Cannery Row 3,2,8,Medium,Plate Limpet,Black Tegula,1,
Cannery Row 3,3,1,Low,Black Limpet,Black Tegula,1,
Cannery Row 3,3,1,Low,Hooked Slippersnail,Black Tegula,3,
Cannery Row 3,3,1,Low,Hooked Slippersnail,Hooked Slippersnail,2,
Cannery Row 3,3,1,Low,Black Limpet,Hooked Slippersnail,1,
Cannery Row 3,3,1,Low,Tar Spot,Black Tegula,1,
Cannery Row 3,3,2,Low,Hooked Slippersnail,Black Tegula,2,
Cannery Row 3,3,2,Low,Chthamalus,Black Tegula,2,
Cannery Row 3,3,2,Low,Plate Limpet,Black Tegula,1,
Cannery Row 3,3,3,Low,Hooked Slippersnail,Black Tegula,1,
Cannery Row 3,3,3,Low,Black Limpet,Black Tegula,1,
Cannery Row 3,3,4,Low,Hooked Slippersnail,Black Tegula,2,
Cannery Row 3,3,4,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Cannery Row 3,3,5,Low,Hooked Slippersnail,Blue-Ringed Top Snail,1,
Cannery Row 3,3,5,Low,Black Limpet,Black Tegula,1,
Cannery Row 3,3,5,Low,Red Algae,Black Tegula,1,
Cannery Row 3,3,5,Low,Chthamalus,Black Tegula,16,
Cannery Row 3,3,5,Low,Hooked Slippersnail,Black Tegula,2,
Cannery Row 3,3,5,Low,Crepidula norrisiarum,Black Tegula,1,
Cannery Row 3,3,6,Low,Hooked Slippersnail,Black Tegula,4,
Cannery Row 3,3,6,Low,Hooked Slippersnail,Hooked Slippersnail,2,
Cannery Row 3,3,6,Low,Chthamalus,Black Tegula,2,
Cannery Row 3,3,7,Low,Chthamalus,Black Tegula,2,
Cannery Row 3,3,7,Low,Hooked Slippersnail,Black Tegula,1,
Cannery Row 3,3,7,Low,Black Limpet,Black Tegula,1,
Cannery Row 3,3,8,Low,Plate Limpet,Black Tegula,1,
Cannery Row 3,3,8,Low,Black Limpet,Black Tegula,2,
Cannery Row 3,3,8,Low,Hooked Slippersnail,Black Tegula,11,
Cannery Row 3,3,8,Low,Tar Spot,Black Tegula,3,
Cannery Row 3,3,8,Low,Chthamalus,Black Tegula,1,
Cannery Row 3,3,8,Low,Crepidula norrisiarum,Black Tegula,1,
Carmel Point 1,1,1,High,Black Limpet,Black Tegula,1,
Carmel Point 1,1,4,High,Green Algae,Scabra,3,
Carmel Point 1,1,4,High,Chthamalus,Chthamalus,1,
Carmel Point 1,1,4,High,Tar Spot,Chthamalus,3,
Carmel Point 1,1,5,High,Tar Spot,Chthamalus,3,
Carmel Point 1,1,5,High,Chthamalus,Chthamalus,2,
Carmel Point 1,1,1,Medium,File Limpet,Black Tegula,2,
Carmel Point 1,1,2,Medium,Pink Volcano Barnacle,Pink Volcano Barnacle,13,
Carmel Point 1,1,3,Medium,Scouring Pad Algae,Pink Volcano Barnacle,1,
Carmel Point 1,1,3,Medium,Hooked Slippersnail,Black Tegula,1,
Carmel Point 1,1,3,Medium,Hooked Slippersnail,Hooked Slippersnail,1,
Carmel Point 1,1,4,Medium,Chthamalus,Black Tegula,3,
Carmel Point 1,1,4,Medium,Digitalis,Black Tegula,1,
Carmel Point 1,1,4,Medium,Black Limpet,Black Tegula,1,
Carmel Point 1,1,5,Medium,Crepidula norrisiarum,Black Tegula,2,
Carmel Point 1,1,5,Medium,Hooked Slippersnail,Crepidula norrisiarum,1,
Carmel Point 1,1,1,Low,Microcionidae,Pink Volcano Barnacle,2,
Carmel Point 1,1,1,Low,Crustose Coralline Algae,Pink Volcano Barnacle,5,
Carmel Point 1,1,1,Low,Crustose Coralline Algae,Balanus,1,
Carmel Point 1,1,2,Low,Filamentous Coralline Algae,Volcano Keyhole Limpet,2,
Carmel Point 1,1,2,Low,Chthamalus,Black Tegula,5,
Carmel Point 1,1,2,Low,Mastocarpus,Volcano Keyhole Limpet,1,
Carmel Point 1,1,2,Low,Hooked Slippersnail,Black Tegula,1,
Carmel Point 1,1,3,Low,Mastocarpus,California Mussel,4,
Carmel Point 1,1,4,Low,Scabra,Green Falsejingle,2,
Carmel Point 1,1,4,Low,Balanus,Green Falsejingle,1,
Carmel Point 1,1,4,Low,Filamentous Coralline Algae,Green Falsejingle,1,
Carmel Point 1,1,4,Low,Crustose Coralline Algae,Green Falsejingle,3,
